Frequency,Impedance
150000,5860.666667
270000,8100.333333
390000,9553
450000,10132.66667
570000,9705
690000,8670
870000,6919.333333
1170000,4903.333333
1710000,3145.666667
2010000,2618.333333
2970000,1701.666667
4170000,1180
5790000,826.3333333
7770000,594.6666667
9330000,479.6666667
11730000,358.6666667
14730000,256.3333333
20610000,126.6666667
25770000,51.66666667
27330000,45
30000000,61.66666667
