Frequency,Impedance
150000,5449
270000,7497
390000,8890
450000,9260
570000,8430
690000,7281
870000,5661
1170000,3980
1710000,2562
2010000,2137
2970000,1394
4170000,969
5790000,679
7770000,488
9330000,393
11730000,292
14730000,206
20610000,94
25770000,33
27330000,39
30000000,33
